t,u1,u2
2.0850e+01,1.3242e+01,1.2360e+01
2.0900e+01,1.3105e+01,1.2224e+01
2.0950e+01,1.3043e+01,1.1978e+01
2.1000e+01,1.3076e+01,1.1855e+01
2.1050e+01,1.3116e+01,1.1997e+01
2.1100e+01,1.3090e+01,1.2300e+01
2.1150e+01,1.3021e+01,1.2535e+01
2.1200e+01,1.2973e+01,1.2614e+01
2.1250e+01,1.2964e+01,1.2656e+01
2.1300e+01,1.2981e+01,1.2801e+01
2.1350e+01,1.3031e+01,1.3014e+01
2.1400e+01,1.3121e+01,1.3164e+01
2.1450e+01,1.3207e+01,1.3235e+01
2.1500e+01,1.3228e+01,1.3316e+01
2.1550e+01,1.3186e+01,1.3419e+01
2.1600e+01,1.3141e+01,1.3451e+01
2.1650e+01,1.3128e+01,1.3350e+01
2.1700e+01,1.3111e+01,1.3193e+01
2.1750e+01,1.3032e+01,1.3114e+01
2.1800e+01,1.2888e+01,1.3140e+01
2.1850e+01,1.2730e+01,1.3164e+01
2.1900e+01,1.2612e+01,1.3109e+01
2.1950e+01,1.2540e+01,1.3021e+01
2.2000e+01,1.2477e+01,1.2990e+01
2.2050e+01,1.2403e+01,1.3023e+01
2.2100e+01,1.2345e+01,1.3030e+01
2.2150e+01,1.2338e+01,1.2946e+01
2.2200e+01,1.2374e+01,1.2826e+01
2.2250e+01,1.2413e+01,1.2790e+01
2.2300e+01,1.2448e+01,1.2877e+01
2.2350e+01,1.2509e+01,1.2991e+01
2.2400e+01,1.2600e+01,1.3003e+01
2.2450e+01,1.2670e+01,1.2868e+01
2.2500e+01,1.2654e+01,1.2645e+01
2.2550e+01,1.2545e+01,1.2429e+01
2.2600e+01,1.2412e+01,1.2296e+01
2.2650e+01,1.2355e+01,1.2305e+01
2.2700e+01,1.2413e+01,1.2475e+01
2.2750e+01,1.2527e+01,1.2720e+01
2.2800e+01,1.2585e+01,1.2880e+01
2.2850e+01,1.2526e+01,1.2879e+01
2.2900e+01,1.2388e+01,1.2812e+01
2.2950e+01,1.2263e+01,1.2812e+01
2.3000e+01,1.2184e+01,1.2883e+01
2.3050e+01,1.2088e+01,1.2921e+01
2.3100e+01,1.1914e+01,1.2851e+01
2.3150e+01,1.1719e+01,1.2696e+01
2.3200e+01,1.1643e+01,1.2524e+01
2.3250e+01,1.1738e+01,1.2380e+01
2.3300e+01,1.1904e+01,1.2301e+01
2.3350e+01,1.1995e+01,1.2326e+01
2.3400e+01,1.1986e+01,1.2461e+01
2.3450e+01,1.1974e+01,1.2629e+01
2.3500e+01,1.2042e+01,1.2711e+01
2.3550e+01,1.2161e+01,1.2668e+01
2.3600e+01,1.2234e+01,1.2566e+01
2.3650e+01,1.2216e+01,1.2478e+01
2.3700e+01,1.2150e+01,1.2422e+01
2.3750e+01,1.2110e+01,1.2408e+01
2.3800e+01,1.2122e+01,1.2465e+01
2.3850e+01,1.2152e+01,1.2575e+01
2.3900e+01,1.2140e+01,1.2645e+01
2.3950e+01,1.2048e+01,1.2593e+01
2.4000e+01,1.1869e+01,1.2466e+01
2.4050e+01,1.1636e+01,1.2426e+01
2.4100e+01,1.1438e+01,1.2585e+01
2.4150e+01,1.1409e+01,1.2886e+01
2.4200e+01,1.1639e+01,1.3152e+01
2.4250e+01,1.2058e+01,1.3221e+01
2.4300e+01,1.2440e+01,1.3046e+01
2.4350e+01,1.2576e+01,1.2692e+01
2.4400e+01,1.2439e+01,1.2288e+01
2.4450e+01,1.2170e+01,1.1970e+01
2.4500e+01,1.1930e+01,1.1824e+01
2.4550e+01,1.1797e+01,1.1786e+01
2.4600e+01,1.1775e+01,1.1659e+01
2.4650e+01,1.1837e+01,1.1316e+01
2.4700e+01,1.1924e+01,1.0910e+01
2.4750e+01,1.1992e+01,1.0756e+01
2.4800e+01,1.2064e+01,1.0967e+01
2.4850e+01,1.2197e+01,1.1314e+01
2.4900e+01,1.2389e+01,1.1460e+01
2.4950e+01,1.2575e+01,1.1303e+01
2.5000e+01,1.2685e+01,1.1050e+01
2.5050e+01,1.2712e+01,1.0971e+01
2.5100e+01,1.2713e+01,1.1115e+01
2.5150e+01,1.2745e+01,1.1314e+01
2.5200e+01,1.2805e+01,1.1453e+01
2.5250e+01,1.2833e+01,1.1607e+01
2.5300e+01,1.2784e+01,1.1877e+01
2.5350e+01,1.2676e+01,1.2207e+01
2.5400e+01,1.2572e+01,1.2453e+01
2.5450e+01,1.2535e+01,1.2565e+01
2.5500e+01,1.2604e+01,1.2614e+01
2.5550e+01,1.2754e+01,1.2689e+01
2.5600e+01,1.2881e+01,1.2819e+01
2.5650e+01,1.2871e+01,1.2990e+01
2.5700e+01,1.2708e+01,1.3174e+01
2.5750e+01,1.2498e+01,1.3339e+01
2.5800e+01,1.2355e+01,1.3434e+01
2.5850e+01,1.2305e+01,1.3395e+01
2.5900e+01,1.2312e+01,1.3190e+01
2.5950e+01,1.2371e+01,1.2892e+01
2.6000e+01,1.2503e+01,1.2671e+01
2.6050e+01,1.2689e+01,1.2675e+01
2.6100e+01,1.2859e+01,1.2895e+01
2.6150e+01,1.2960e+01,1.3139e+01
2.6200e+01,1.2992e+01,1.3182e+01
2.6250e+01,1.2975e+01,1.2980e+01
2.6300e+01,1.2913e+01,1.2708e+01
2.6350e+01,1.2803e+01,1.2556e+01
2.6400e+01,1.2666e+01,1.2587e+01
2.6450e+01,1.2556e+01,1.2746e+01
2.6500e+01,1.2520e+01,1.2944e+01
2.6550e+01,1.2558e+01,1.3107e+01
2.6600e+01,1.2615e+01,1.3200e+01
2.6650e+01,1.2623e+01,1.3217e+01
2.6700e+01,1.2572e+01,1.3174e+01
2.6750e+01,1.2527e+01,1.3102e+01
2.6800e+01,1.2551e+01,1.3041e+01
2.6850e+01,1.2626e+01,1.3026e+01
2.6900e+01,1.2673e+01,1.3082e+01
2.6950e+01,1.2646e+01,1.3203e+01
2.7000e+01,1.2589e+01,1.3339e+01
2.7050e+01,1.2584e+01,1.3406e+01
2.7100e+01,1.2641e+01,1.3382e+01
2.7150e+01,1.2672e+01,1.3348e+01
2.7200e+01,1.2582e+01,1.3409e+01
2.7250e+01,1.2374e+01,1.3574e+01
2.7300e+01,1.2140e+01,1.3738e+01
2.7350e+01,1.1959e+01,1.3788e+01
2.7400e+01,1.1816e+01,1.3726e+01
2.7450e+01,1.1668e+01,1.3648e+01
2.7500e+01,1.1542e+01,1.3621e+01
2.7550e+01,1.1505e+01,1.3627e+01
2.7600e+01,1.1553e+01,1.3615e+01
2.7650e+01,1.1620e+01,1.3570e+01
2.7700e+01,1.1663e+01,1.3514e+01
2.7750e+01,1.1696e+01,1.3469e+01
2.7800e+01,1.1747e+01,1.3442e+01
2.7850e+01,1.1822e+01,1.3434e+01
2.7900e+01,1.1908e+01,1.3460e+01
2.7950e+01,1.1981e+01,1.3557e+01
2.8000e+01,1.2027e+01,1.3745e+01
2.8050e+01,1.2064e+01,1.3970e+01
2.8100e+01,1.2118e+01,1.4125e+01
2.8150e+01,1.2180e+01,1.4136e+01
2.8200e+01,1.2193e+01,1.4016e+01
2.8250e+01,1.2107e+01,1.3840e+01
2.8300e+01,1.1943e+01,1.3690e+01
2.8350e+01,1.1797e+01,1.3604e+01
2.8400e+01,1.1767e+01,1.3578e+01
2.8450e+01,1.1848e+01,1.3603e+01
2.8500e+01,1.1927e+01,1.3664e+01
2.8550e+01,1.1909e+01,1.3713e+01
2.8600e+01,1.1836e+01,1.3687e+01
2.8650e+01,1.1837e+01,1.3573e+01
2.8700e+01,1.1986e+01,1.3428e+01
2.8750e+01,1.2223e+01,1.3314e+01
2.8800e+01,1.2424e+01,1.3243e+01
2.8850e+01,1.2512e+01,1.3204e+01
2.8900e+01,1.2501e+01,1.3209e+01
2.8950e+01,1.2447e+01,1.3271e+01
2.9000e+01,1.2426e+01,1.3349e+01
