t,x1,y1,z1,x2,y2,z2
7.550000e+01,5.176699e-02,5.837345e-02,5.857373e-02,2.768979e-02,7.253496e-02,4.226548e-02
7.600000e+01,5.286363e-02,5.138958e-02,5.356971e-02,2.882967e-02,6.537822e-02,3.063719e-02
7.650000e+01,5.244464e-02,5.631524e-02,5.792450e-02,2.936367e-02,7.012520e-02,2.650051e-02
7.700000e+01,5.137376e-02,5.832168e-02,5.085716e-02,2.770108e-02,7.228678e-02,2.552668e-02
7.750000e+01,5.205589e-02,5.481410e-02,4.685411e-02,2.804682e-02,6.897789e-02,3.267614e-02
7.800000e+01,5.190057e-02,5.383783e-02,3.761945e-02,2.926059e-02,6.797777e-02,2.400573e-02
7.850000e+01,5.090941e-02,5.913288e-02,3.622123e-02,2.780154e-02,7.319438e-02,1.643237e-02
7.900000e+01,5.232456e-02,5.734451e-02,3.801294e-02,2.845997e-02,7.119660e-02,9.906525e-03
7.950000e+01,5.128259e-02,5.403577e-02,4.728754e-02,2.892679e-02,6.791015e-02,1.949864e-02
8.000000e+01,5.134902e-02,5.633424e-02,4.100053e-02,2.877542e-02,7.037590e-02,2.174282e-02
8.050000e+01,5.269745e-02,5.725728e-02,4.328191e-02,2.939510e-02,7.139599e-02,2.998803e-02
8.100000e+01,5.136206e-02,5.594672e-02,5.620541e-02,2.874040e-02,7.008952e-02,4.050036e-02
8.150000e+01,5.178304e-02,5.495626e-02,6.124019e-02,2.880794e-02,6.887883e-02,3.469278e-02
8.200000e+01,5.256038e-02,5.545761e-02,6.198566e-02,2.906879e-02,6.931809e-02,3.287069e-02
8.250000e+01,5.336289e-02,5.547002e-02,5.466247e-02,3.016951e-02,6.940751e-02,3.030019e-02
8.300000e+01,5.138653e-02,5.635357e-02,5.038593e-02,2.819789e-02,7.054510e-02,3.654015e-02
8.350000e+01,5.241471e-02,5.710402e-02,4.198657e-02,2.927661e-02,7.132883e-02,3.232494e-02
8.400000e+01,5.364937e-02,5.550852e-02,5.312759e-02,2.996450e-02,6.948432e-02,3.058991e-02
8.450000e+01,5.218274e-02,5.390018e-02,5.671213e-02,2.816349e-02,6.770710e-02,2.442226e-02
8.500000e+01,5.203613e-02,5.814853e-02,5.308577e-02,2.871803e-02,7.203892e-02,2.468651e-02
8.550000e+01,5.337141e-02,5.539401e-02,3.871543e-02,2.978227e-02,6.949649e-02,2.314047e-02
8.600000e+01,5.173182e-02,5.349682e-02,2.473319e-02,2.753510e-02,6.779208e-02,1.857306e-02
8.650000e+01,5.094049e-02,5.519550e-02,4.000645e-02,2.797371e-02,6.930047e-02,2.137063e-02
8.700000e+01,5.324099e-02,5.674802e-02,5.516461e-02,3.014781e-02,7.055974e-02,2.446111e-02
